centre_name,address,neighbourhood,lat,lng,curriculum,language_medium,fee_halfday_raw,fee_fullday_raw,fee_display,scale,religious_orientation,source_primary,source_notes,threat_score,phone,updated_at,merge_count,entity_resolution
Tadika Manarul Islam,"3, Jalan SS 1/35, Petaling Jaya, 47300",OUT_OF_BOUNDS,3.1012075,101.620138,[Inferred] Standard KSPK assumed — typical for MOE-registered operator,[Inferred] BM + English — typical for Islamic-integrated preschool,[Inferred] RM 300-500/mth (Market Average),[Inferred] RM 450-700/mth (Market Average),[Inferred] RM 300-500/mth (Market Average) | [Inferred] RM 450-700/mth (Market Average),Independent,Islamic-integrated,Overpass API,[Flagged: Location outside 10km radius],0,,2026-04-14 06:01:10 UTC,,
Tabika Kemas SS4A Kelana Jaya,Petaling Jaya,OUT_OF_BOUNDS,3.1083498,101.6088692,[Inferred] Standard KSPK assumed — typical for MOE-registered operator,[Inferred] English primary — area demographics suggest higher English demand,[Inferred] RM 300-500/mth (Market Average),[Inferred] RM 450-700/mth (Market Average),[Inferred] RM 300-500/mth (Market Average) | [Inferred] RM 450-700/mth (Market Average),National Chain,Secular,Overpass API,[Flagged: Location outside 10km radius],0,017-2876454,2026-04-14 06:01:10 UTC,,
Tadika Si Cilik Pintar,1,Setia Alam,3.0734469,101.4820671,[Inferred] Standard KSPK assumed — typical for MOE-registered operator,[Inferred] BM + English — standard bilingual for Shah Alam area,[Inferred] RM 300-500/mth (Market Average),[Inferred] RM 450-700/mth (Market Average),[Inferred] RM 300-500/mth (Market Average) | [Inferred] RM 450-700/mth (Market Average),Independent,Secular,Overpass API,[Verified: Overpass API - OpenStreetMap (main)] | [Verified via none]: [DDGS] Found address + 5 sources,4,03-5512 0337,2026-04-14 06:01:10 UTC,,
Tadika Cahaya Minda,"Jalan Tupai 20/16, Seksyen 20, 40300",Other,3.0569575,101.5395291,[Inferred] Standard KSPK assumed — typical for MOE-registered operator,[Inferred] BM + English — standard bilingual for Shah Alam area,[Inferred] RM 300-500/mth (Market Average),[Inferred] RM 450-700/mth (Market Average),[Inferred] RM 300-500/mth (Market Average) | [Inferred] RM 450-700/mth (Market Average),Independent,Secular,Overpass API,[Verified: Overpass API - OpenStreetMap (main)],4,013-402 0429,2026-04-14 06:01:10 UTC,,
Kinderland,"No.2, Jalan USJ 11/4P, Subang Jaya, 47620",Glenmarie,3.0473713,101.5769243,[Inferred] Standard KSPK assumed — typical for MOE-registered operator,[Inferred] English primary — area demographics suggest higher English demand,[Inferred] RM 300-500/mth (Market Average),[Inferred] RM 450-700/mth (Market Average),[Inferred] RM 300-500/mth (Market Average) | [Inferred] RM 450-700/mth (Market Average),National Chain,Secular,Overpass API,[Verified: Overpass API - OpenStreetMap (main)] | [Verified via none]: [DDGS] Found address + 5 sources,4,03-7832 7655,2026-04-14 06:01:10 UTC,3.0,Duplicates merged
Ace Arrows Kindergarten,"No. 5C, Persiaran Gerbang Utama, Bukit Jelutong, Seksyen U8, 40150 Shah Alam, Selangor",Bukit Jelutong,,,Montessori,[Inferred] BM + English — standard bilingual for Shah Alam area,RM 595,RM570-1270,RM 595 | RM570-1270,Independent,International,Tavily Search,[Verified: Tavily Search — https://kidzenrol.com/partner-school/ace-arrows-kindergarten] Fees from website.,4,,2026-04-14 06:01:10 UTC,2.0,Duplicates merged
REAL Kids Bukit Jelutong,"Jalan Jendela U8/20, Bukit Jelutong, 40150 Shah Alam, Selangor, Malaysia",Bukit Jelutong,3.1029869,101.5368361,Cambridge Early Years,[Inferred] BM + English — standard bilingual for Shah Alam area,RM 450–550/month (half-day),RM 700–900/month (full-day),RM 450–550/month (half-day) | RM 700–900/month (full-day),National Chain,International,Tavily Search,[Verified: Tavily Search — https://realkids.edu.my/centre-locator/real-kids-bukit-jelut] Fees from website. | [Verified: REAL Kids website / Kiddy123 listings] | [Verified via none]: [DDGS] Found address + 5 sources,8,109627832,2026-04-14 06:01:10 UTC,,
Taska Little Genius,"Shah Alam, Selangor",Setia Alam,3.0739429,101.5185278,Islamic-integrated,[Inferred] BM + English — typical for Islamic-integrated preschool,[Inferred] RM 300-500/mth (Market Average),[Inferred] RM 450-700/mth (Market Average),[Inferred] RM 300-500/mth (Market Average) | [Inferred] RM 450-700/mth (Market Average),Independent,Islamic-integrated,Tavily Search,[Verified: Tavily Search — https://www.facebook.com/taskalittlegenius/] | [Verified: Tavily Search — https://www.facebook.com/p/Taska-Little-Genius-1000391831981] | [Verified via combined_yahoo_tavily]: [Combined] DDGS: '[DDGS] No address found in 5 results',4,013-490 2477,2026-04-14 06:01:10 UTC,,
"Little Oak Tree, Bukit Jelutong","Jalan Bazar U8/100, Bukit Jelutong, Shah Alam, Selangor 40150 Malaysia 012-368",Bukit Jelutong,,,Holistic,[Inferred] BM + English — standard bilingual for Shah Alam area,[Inferred] RM 300-500/mth (Market Average),[Inferred] RM 450-700/mth (Market Average),[Inferred] RM 300-500/mth (Market Average) | [Inferred] RM 450-700/mth (Market Average),Independent,Secular,Tavily Search,[Verified: Tavily Search — https://www.kiddy123.com/article/little-oak-tree-bukit-jelut] | [Verified: Tavily Search — https://www.facebook.com/LittleOakTreeBukitJelutong/],4,012-368 6632,2026-04-14 06:01:10 UTC,,
TASKA LITTLE GENIUS,"Jalan Bazar, - **Telephone:** 0122286499 - **Type:** Institution - **City:** Shah Ala",Other,,,STEAM,[Inferred] BM + English — standard bilingual for Shah Alam area,[Inferred] RM 300-500/mth (Market Average),[Inferred] RM 450-700/mth (Market Average),[Inferred] RM 300-500/mth (Market Average) | [Inferred] RM 450-700/mth (Market Average),Independent,Secular,Tavily Search,[Verified: Tavily Search — https://daycare.my/taska-little-genius/] | [Verified via combined_yahoo_tavily]: [Combined] DDGS: '[DDGS] No address found in 5 results',4,+60 19-282 7878,2026-04-14 06:01:10 UTC,,
Little Oak Tree: Kindergarten,"Jalan Bazar U8/100, Bukit Jelutong, 40150 Shah Alam, Selangor, Malaysia",Bukit Jelutong,3.0972485,101.5369629,Holistic,[Inferred] BM + English — standard bilingual for Shah Alam area,[Inferred] RM 300-500/mth (Market Average),[Inferred] RM 450-700/mth (Market Average),[Inferred] RM 300-500/mth (Market Average) | [Inferred] RM 450-700/mth (Market Average),Independent,Secular,Tavily Search,[Verified: Tavily Search — https://www.littleoaktree.center/] | [Verified via none]: [DDGS] Found address + 5 sources,4,+60123686632,2026-04-14 06:01:10 UTC,,
*PUSAT JAGAAN CIK IRIS,"BUKIT JELUTONG (Seksyen U8) SHAH ALAM, Selangor",Bukit Jelutong,3.1132982,101.5322119,[Inferred] Standard KSPK assumed — typical for MOE-registered operator,[Inferred] BM + English — standard bilingual for Shah Alam area,[Inferred] RM 300-500/mth (Market Average),[Inferred] RM 450-700/mth (Market Average),[Inferred] RM 300-500/mth (Market Average) | [Inferred] RM 450-700/mth (Market Average),Independent,Secular,Tavily Search,[Verified: Tavily Search — https://www.facebook.com/transitcikiris/posts/pusat-jagaan-c] | [Verified via none]: [DDGS] Found address + 5 sources,4,,2026-04-14 06:01:10 UTC,,
Islamic Playschool Daycare Setia Alam,"No. 56, Jalan Setia Perdana U13/25H, Precint 12, Setia Alam, 40170 Shah Alam, Selangor",Setia Alam,,,Montessori,[Inferred] BM + English — typical for Islamic-integrated preschool,RM 350–500/month (half-day),RM 500–700/month (full-day),RM 350–500/month (half-day) | RM 500–700/month (full-day),National Chain,Islamic-integrated,Tavily Search,[Verified: Tavily Search — https://brainybunch.sg/preschool-playschool-branches-list/se] Fees from website. | [Verified: Brainy Bunch website / Kiddy123] | [Verified via none]: [DDGS] Found address + 5 sources,4,019-268 0250,2026-04-14 06:01:10 UTC,2.0,Duplicates merged
"Odyssey, The Global Preschool","Jalan Setia Dagang U13/AJ, Seventh Avenue, Setia Alam Seksyen U13, Shah Alam, 40170, Selangor",Setia Alam,,,STEAM,[Inferred] BM + English — standard bilingual for Shah Alam area,[Inferred] RM 300-500/mth (Market Average),[Inferred] RM 450-700/mth (Market Average),[Inferred] RM 300-500/mth (Market Average) | [Inferred] RM 450-700/mth (Market Average),Independent,Secular,Tavily Search,[Verified: Tavily Search — https://educationdestinationmalaysia.com/school/odyssey-glob],4,+603-6203-3733,2026-04-14 06:01:10 UTC,,
Genius Kids' Land Preschool,"jalan setia indah U13/9M setia alam, 40170 Shah alam, SDE, Selangor",Setia Alam,,,Montessori,[Inferred] BM + English — standard bilingual for Shah Alam area,RM 988,RM788-1198,RM 988 | RM788-1198,Independent,International,Tavily Search,[Verified: Tavily Search — https://kidzenrol.com/partner-school/genius-kids-land-presch] Fees from website. | [Verified via combined_yahoo_tavily]: [Combined] DDGS: '[DDGS] No address found in 5 results',4,019-777 7454,2026-04-14 06:01:10 UTC,,
Kindergarten in Setia Alam,"Jalan Setia Tropika U13/18T, Setia Eco-parkShah Alam, Selangor, MY ![International S",Setia Alam,,,Cambridge Early Years,[Inferred] BM + English — standard bilingual for Shah Alam area,"rm,","rm,","rm, | rm,",Independent,International,Tavily Search,[Verified: Tavily Search — https://www.tenby.edu.my/setia-eco-park/learning-journey/ear] Fees from website.,2,012 385 2696,2026-04-14 06:01:10 UTC,2.0,Duplicates merged
Tadika dan Taska di Setia Alam,"Jalan Setia Gemilang U13/BG Setia Alam 40170 Shah Alam, Selangor",Setia Alam,,,STEAM,[Inferred] BM + English — standard bilingual for Shah Alam area,RM 400,RM 400,RM 400 | RM 400,Independent,Secular,Tavily Search,[Verified: Tavily Search — https://explore.anak2u.com.my/negeri/selangor/Setia-Alam-2] Fees from website.,4,,2026-04-14 06:01:10 UTC,,
Tadika Generasi Cilik Genius,Setia Alam,Setia Alam,3.1077904,101.4621432,[Inferred] Standard KSPK assumed — typical for MOE-registered operator,[Inferred] BM + English — standard bilingual for Shah Alam area,[Inferred] RM 300-500/mth (Market Average),[Inferred] RM 450-700/mth (Market Average),[Inferred] RM 300-500/mth (Market Average) | [Inferred] RM 450-700/mth (Market Average),Independent,Secular,Tavily Search,[Verified: Tavily Search — https://www.facebook.com/tadikagenerasigeniussetiaalam/?loca],4,016-491 6836,2026-04-14 06:01:10 UTC,,
Tadika Genius Kids' Land Setia Alam,Setia Alam launching our Open Days on Saturdays as,Setia Alam,,,STEAM,[Inferred] BM + English — standard bilingual for Shah Alam area,[Inferred] RM 300-500/mth (Market Average),[Inferred] RM 450-700/mth (Market Average),[Inferred] RM 300-500/mth (Market Average) | [Inferred] RM 450-700/mth (Market Average),Independent,Secular,Tavily Search,[Verified: Tavily Search — https://www.facebook.com/geniuskidsland/?locale=ms_MY],4,,2026-04-14 06:01:10 UTC,,
Preschool Setia Alam,"Setia Alam, Shah Alam # Campus Setia Alam #####, Selangor",Setia Alam,,,Islamic-integrated,[Inferred] BM + English — typical for Islamic-integrated preschool,[Inferred] RM 300-500/mth (Market Average),[Inferred] RM 450-700/mth (Market Average),[Inferred] RM 300-500/mth (Market Average) | [Inferred] RM 450-700/mth (Market Average),Independent,Islamic-integrated,Tavily Search,[Verified: Tavily Search — https://www.nimblebee.my/setia-alam/],4,+6018-783 8859,2026-04-14 06:01:10 UTC,,
"Driving directions to Tadika Dzul Iman Setia Alam, Shah","Jalan Setia Indah U13/12s, Setia Alam, 40170 Shah Alam, Selangor, Malaysia",Setia Alam,3.1020965,101.4616792,[Inferred] Standard KSPK assumed — typical for MOE-registered operator,[Inferred] BM + English — typical for Islamic-integrated preschool,[Inferred] RM 300-500/mth (Market Average),[Inferred] RM 450-700/mth (Market Average),[Inferred] RM 300-500/mth (Market Average) | [Inferred] RM 450-700/mth (Market Average),Independent,Islamic-integrated,Tavily Search,[Verified: Tavily Search — https://www.waze.com/live-map/directions/my/selangor/shah-al] | [Verified via none]: [DDGS] Found address + 5 sources,4,019-283 2321,2026-04-14 06:01:10 UTC,,
Taska Little Sujood Setia Alam,"Setia Alam, Shah Alam, Selangor",Setia Alam,3.1077904,101.4621432,[Inferred] Standard KSPK assumed — typical for MOE-registered operator,[Inferred] BM + English — typical for Islamic-integrated preschool,[Inferred] RM 300-500/mth (Market Average),[Inferred] RM 450-700/mth (Market Average),[Inferred] RM 300-500/mth (Market Average) | [Inferred] RM 450-700/mth (Market Average),Independent,Islamic-integrated,Tavily Search,[Verified: Tavily Search — https://www.facebook.com/Taskalittlesujoodsetiaalam/photos/],4,0129562915,2026-04-14 06:01:10 UTC,,
Taska & Tadika Setia Mu,"Shah Alam Library, and more, Selangor",Other,,,STEAM,[Inferred] BM + English — standard bilingual for Shah Alam area,[Inferred] RM 300-500/mth (Market Average),[Inferred] RM 450-700/mth (Market Average),[Inferred] RM 300-500/mth (Market Average) | [Inferred] RM 450-700/mth (Market Average),Independent,Secular,Tavily Search,[Verified: Tavily Search — https://setiamugroup.com/] | [Verified via combined_yahoo_tavily]: [Combined] DDGS: '[DDGS] No address found in 4 results' | Tavily: '[Tavily] Phone found',4,+60 11-3242 8888,2026-04-14 06:01:10 UTC,,
Genius Kids’ Land Nursery & Preschool,"No. 2, Jalan Setia Utama U13/37R, Setia Utama 2, Alam Nusantara, Setia Alam, Shah Alam, S, Selangor",Setia Alam,,,Cambridge Early Years,[Inferred] BM + English — standard bilingual for Shah Alam area,"rm,","rm,","rm, | rm,",Independent,International,Tavily Search,[Verified: Tavily Search — https://www.kiddy123.com/article/genius-kids-land-nursery-pr] Fees from website. | [Verified via none]: [DDGS] Found address + 5 sources,2,,2026-04-14 06:01:10 UTC,,
Love & Laugh Setia Alam Childcare,"Jalan Setia Dagang AK Seksyen , Setia Alam, 40170 Shah Alam, Selangor ##### How can I",Setia Alam,,,Play-based,[Inferred] BM + English — standard bilingual for Shah Alam area,[Inferred] RM 300-500/mth (Market Average),[Inferred] RM 450-700/mth (Market Average),[Inferred] RM 300-500/mth (Market Average) | [Inferred] RM 450-700/mth (Market Average),Independent,Secular,Tavily Search,[Verified: Tavily Search — https://loveandlaugh.care/love-laugh-setia-alam/] | [Verified via combined_yahoo_tavily]: [Combined] DDGS: 'DDGS error: ('error sending request for url (https://yandex.com/search/site/?text=%22Love+%26+Laugh+Setia+Alam+C',4,017-279 7061,2026-04-14 06:01:10 UTC,,
KOTI nursery,"Setia Alam ☕️ Shop, explore, and unwind, all in on",Setia Alam,,,STEAM,[Inferred] BM + English — standard bilingual for Shah Alam area,[Inferred] RM 300-500/mth (Market Average),[Inferred] RM 450-700/mth (Market Average),[Inferred] RM 300-500/mth (Market Average) | [Inferred] RM 450-700/mth (Market Average),Independent,Secular,Tavily Search,[Verified: Tavily Search — https://www.facebook.com/KOTIhouse/] | [Verified via none]: [DDGS] Found address + 5 sources,4,+60 17-332 2568,2026-04-14 06:01:10 UTC,,
Islamic Playschool Daycare Denai Alam – Brainy Bunch International Montessori,"Jalan Elektron Seksyen U16, Denai Alam, 40160 Shah Alam, Selangor ##### Manager",Denai Alam,,,Montessori,[Inferred] BM + English — typical for Islamic-integrated preschool,RM 350–500/month (half-day),RM 500–700/month (full-day),RM 350–500/month (half-day) | RM 500–700/month (full-day),National Chain,Islamic-integrated,Tavily Search,[Verified: Tavily Search — https://brainybunch.sg/preschool-playschool-branches-list/se] Fees from website. | [Verified: Brainy Bunch website / Kiddy123] | [Verified via none]: [DDGS] Found address + 5 sources,4,,2026-04-14 06:01:10 UTC,,
REAL Kids Denai Alam 2,Jalan Elektron commercial area,Denai Alam,3.1523007,101.514493,Cambridge Early Years,[Inferred] BM + English — standard bilingual for Shah Alam area,RM 450–550/month (half-day),RM 700–900/month (full-day),RM 450–550/month (half-day) | RM 700–900/month (full-day),National Chain,International,Tavily Search,[Verified: Tavily Search — https://realkids.edu.my/centre-locator/real-kids-denai-alam-] Fees from website. | [Verified: REAL Kids website / Kiddy123 listings] | [Verified via none]: [DDGS] Found address + 5 sources,7,,2026-04-14 06:01:10 UTC,,
Love and Laugh Denai Alam Childcare,"Jalan Elektron G U16/G, Seksyen U16, Denai Alam, 40160 Shah Alam, Selangor ##### How",Denai Alam,,,Play-based,[Inferred] BM + English — standard bilingual for Shah Alam area,[Inferred] RM 300-500/mth (Market Average),[Inferred] RM 450-700/mth (Market Average),[Inferred] RM 300-500/mth (Market Average) | [Inferred] RM 450-700/mth (Market Average),Independent,Secular,Tavily Search,[Verified: Tavily Search — https://loveandlaugh.care/love-laugh-denai-alam/] | [Verified via none]: [DDGS] Found address + 5 sources,4,,2026-04-14 06:01:10 UTC,,
Kidstime Elmina,Elmina Green – Preschool & Playschool A warm a,Elmina,,,Play-based,[Inferred] BM + English — standard bilingual for Shah Alam area,[Inferred] RM 300-500/mth (Market Average),[Inferred] RM 450-700/mth (Market Average),[Inferred] RM 300-500/mth (Market Average) | [Inferred] RM 450-700/mth (Market Average),Independent,Secular,Tavily Search,[Verified: Tavily Search — https://www.facebook.com/p/Kidstime-Elmina-61581051363739/] | [Verified via none]: [DDGS] Found address + 5 sources,4,+6010-219 3252,2026-04-14 06:01:10 UTC,,
Elmina,"Jalan Frekuensi R U16/R Seksyen U16 Elmina East, 40160 Shah Alam, Selangor Programme",Elmina,,,STEAM,[Inferred] BM + English — standard bilingual for Shah Alam area,[Inferred] RM 300-500/mth (Market Average),[Inferred] RM 450-700/mth (Market Average),[Inferred] RM 300-500/mth (Market Average) | [Inferred] RM 450-700/mth (Market Average),Independent,Secular,Tavily Search,[Verified: Tavily Search — https://cubs.edu.my/elmina-shah-alam/] | [Verified via none]: [DDGS] Found address + 5 sources,4,+603-783 1808,2026-04-14 06:01:10 UTC,,
Bright Kids Elmina,Elmina,Elmina,,,STEAM,[Inferred] BM + English — standard bilingual for Shah Alam area,"rm,","rm,","rm, | rm,",Independent,Secular,Tavily Search,[Verified: Tavily Search — https://www.facebook.com/100090674091873/posts/-selamat-hari] Fees from website. | [Verified via combined_yahoo_tavily]: [Combined] DDGS: '[DDGS] No address found in 5 results',1,018-982 3916,2026-04-14 06:01:10 UTC,2.0,Duplicates merged
